position,IconPath,GROUP Name,Name,URL
1,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/graylog.png,Freebird Local,Graylog,http://192.168.1.75:9000/
1,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/nginx.png,Freebird Local,NPM,http://192.168.1.52:81/nginx/proxy
1,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/proxmox.png,Freebird Local,PVE,https://192.168.1.3:8006/
1,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/remotely.png,Freebird Local,PVE1 DRAC,http://192.168.1.6/
1,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/remotely.png,Freebird Local,PVE2 DRAC,http://192.168.1.7/
1,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/remotely.png,Freebird Local,PVE3 DRAC,http://192.168.1.8/
2,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/goaccess-light.png,Freebird Proxy,GoAccess,https://labstats.starshipks.com/
2,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/grafana.png,Freebird Proxy,Grafana,https://metrics.starshipks.com/
2,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/graylog.png,Freebird Proxy,Graylog,https://graylog.starshipks.com/
2,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/linkwarden.png,Freebird Proxy,Linkwarden,https://linkwarden.starshipks.com/
2,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/meshcentral.png,Freebird Proxy,MeshCentral,https://rs.starshipks.com/
2,https://cdn.jsdelivr.net/gh/selfhst/icons/png/ara-records-ansible-light.png,Freebird Proxy,Order Tracking,https://ordertracking.starshipks.com/
2,https://cdn.jsdelivr.net/gh/selfhst/icons/png/glance.png,Freebird Proxy,Glances,https://glances.starshipks.com/
2,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/proxmox.png,Freebird Proxy,PVE Cluster,https://lab.starshipks.com:48006/
2,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/tandoor-recipes.png,Freebird Proxy,Tandoori,https://tandoor.starshipks.com/
2,https://cdn.jsdelivr.net/gh/loganmarchione/homelab-svg-assets//assets/uptimekuma.svg,Freebird Proxy,UptimeKuma,https://labkuma.starshipks.com/dashboard
2,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/svg/vscode.svg,Freebird Proxy,VSCoder,https://coder.starshipks.com/
3,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/blue-iris.png,Starship Home,BlueIris,http://192.168.99.97:51081/
3,https://cdn.jsdelivr.net/gh/selfhst/icons/png/opnsense-v1.png,Starship Home,Firewall,https://192.168.99.1:10443/
3,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/svg/adguard-home.svg,Starship Home,AdGuard,https://192.168.99.53
3,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/immich.png,Starship Home,Immich,http://192.168.99.90:2283/photos
3,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/jellyfin-vue.png,Starship Home,JellyFin,http://192.168.99.101:8096
3,https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/librenms.png,Starship Home,LibreNMS,http://192.168.99.222:8000/overview?dashboard=2
